"","CNY"
"Oct 1996",0
"Nov 1996",0
"Dec 1996",0
"Jan 1997",0
"Feb 1997",1
"Mar 1997",0
"Apr 1997",0
"May 1997",0
"Jun 1997",0
"Jul 1997",0
"Aug 1997",0
"Sep 1997",0
"Oct 1997",0
"Nov 1997",0
"Dec 1997",0
"Jan 1998",1
"Feb 1998",0
"Mar 1998",0
"Apr 1998",0
"May 1998",0
"Jun 1998",0
"Jul 1998",0
"Aug 1998",0
"Sep 1998",0
"Oct 1998",0
"Nov 1998",0
"Dec 1998",0
"Jan 1999",0
"Feb 1999",1
"Mar 1999",0
"Apr 1999",0
"May 1999",0
"Jun 1999",0
"Jul 1999",0
"Aug 1999",0
"Sep 1999",0
"Oct 1999",0
"Nov 1999",0
"Dec 1999",0
"Jan 2000",0
"Feb 2000",1
"Mar 2000",0
"Apr 2000",0
"May 2000",0
"Jun 2000",0
"Jul 2000",0
"Aug 2000",0
"Sep 2000",0
"Oct 2000",0
"Nov 2000",0
"Dec 2000",0
"Jan 2001",1
"Feb 2001",0
"Mar 2001",0
"Apr 2001",0
"May 2001",0
"Jun 2001",0
"Jul 2001",0
"Aug 2001",0
"Sep 2001",0
"Oct 2001",0
"Nov 2001",0
"Dec 2001",0
"Jan 2002",0
"Feb 2002",1
"Mar 2002",0
"Apr 2002",0
"May 2002",0
"Jun 2002",0
"Jul 2002",0
"Aug 2002",0
"Sep 2002",0
"Oct 2002",0
"Nov 2002",0
"Dec 2002",0
"Jan 2003",0
"Feb 2003",1
"Mar 2003",0
"Apr 2003",0
"May 2003",0
"Jun 2003",0
"Jul 2003",0
"Aug 2003",0
"Sep 2003",0
"Oct 2003",0
"Nov 2003",0
"Dec 2003",0
"Jan 2004",1
"Feb 2004",0
"Mar 2004",0
"Apr 2004",0
"May 2004",0
"Jun 2004",0
"Jul 2004",0
"Aug 2004",0
"Sep 2004",0
"Oct 2004",0
"Nov 2004",0
"Dec 2004",0
"Jan 2005",0
"Feb 2005",1
"Mar 2005",0
"Apr 2005",0
"May 2005",0
"Jun 2005",0
"Jul 2005",0
"Aug 2005",0
"Sep 2005",0
"Oct 2005",0
"Nov 2005",0
"Dec 2005",0
"Jan 2006",1
"Feb 2006",0
"Mar 2006",0
"Apr 2006",0
"May 2006",0
"Jun 2006",0
"Jul 2006",0
"Aug 2006",0
"Sep 2006",0
"Oct 2006",0
"Nov 2006",0
"Dec 2006",0
"Jan 2007",0
"Feb 2007",1
"Mar 2007",0
"Apr 2007",0
"May 2007",0
"Jun 2007",0
"Jul 2007",0
"Aug 2007",0
"Sep 2007",0
"Oct 2007",0
"Nov 2007",0
"Dec 2007",0
"Jan 2008",0
"Feb 2008",1
"Mar 2008",0
"Apr 2008",0
"May 2008",0
"Jun 2008",0
"Jul 2008",0
"Aug 2008",0
"Sep 2008",0
"Oct 2008",0
"Nov 2008",0
"Dec 2008",0
"Jan 2009",1
"Feb 2009",0
"Mar 2009",0
"Apr 2009",0
"May 2009",0
"Jun 2009",0
"Jul 2009",0
"Aug 2009",0
"Sep 2009",0
"Oct 2009",0
"Nov 2009",0
"Dec 2009",0
"Jan 2010",0
"Feb 2010",1
"Mar 2010",0
"Apr 2010",0
"May 2010",0
"Jun 2010",0
"Jul 2010",0
"Aug 2010",0
"Sep 2010",0
"Oct 2010",0
"Nov 2010",0
"Dec 2010",0
"Jan 2011",0
"Feb 2011",1
"Mar 2011",0
"Apr 2011",0
"May 2011",0
"Jun 2011",0
"Jul 2011",0
"Aug 2011",0
"Sep 2011",0
"Oct 2011",0
"Nov 2011",0
"Dec 2011",0
"Jan 2012",1
"Feb 2012",0
"Mar 2012",0
"Apr 2012",0
"May 2012",0
"Jun 2012",0
"Jul 2012",0
"Aug 2012",0
"Sep 2012",0
"Oct 2012",0
"Nov 2012",0
"Dec 2012",0
"Jan 2013",0
"Feb 2013",1
"Mar 2013",0
"Apr 2013",0
"May 2013",0
"Jun 2013",0
"Jul 2013",0
"Aug 2013",0
"Sep 2013",0
"Oct 2013",0
"Nov 2013",0
"Dec 2013",0
"Jan 2014",1
"Feb 2014",0
"Mar 2014",0
"Apr 2014",0
"May 2014",0
"Jun 2014",0
"Jul 2014",0
"Aug 2014",0
"Sep 2014",0
"Oct 2014",0
"Nov 2014",0
"Dec 2014",0
"Jan 2015",0
"Feb 2015",1
"Mar 2015",0
"Apr 2015",0
"May 2015",0
"Jun 2015",0
"Jul 2015",0
"Aug 2015",0
"Sep 2015",0
"Oct 2015",0
"Nov 2015",0
"Dec 2015",0
"Jan 2016",0
"Feb 2016",1
"Mar 2016",0
"Apr 2016",0
"May 2016",0
"Jun 2016",0
"Jul 2016",0
"Aug 2016",0
"Sep 2016",0
"Oct 2016",0
"Nov 2016",0
"Dec 2016",0
"Jan 2017",1
"Feb 2017",0
"Mar 2017",0
"Apr 2017",0
"May 2017",0
"Jun 2017",0
"Jul 2017",0
"Aug 2017",0
"Sep 2017",0
"Oct 2017",0
"Nov 2017",0
"Dec 2017",0
"Jan 2018",0
"Feb 2018",1
"Mar 2018",0
"Apr 2018",0
"May 2018",0
"Jun 2018",0
"Jul 2018",0
"Aug 2018",0
"Sep 2018",0
"Oct 2018",0
"Nov 2018",0
"Dec 2018",0
