Name,EP
1996/10/15,5.2
1996/11/15,5
1996/12/15,7.5
1997/01/15,4.7
1997/02/15,0.4
1997/03/15,7
1997/04/15,1.2
1997/05/15,4.7
1997/06/15,5.4
1997/07/15,4.8
1997/08/15,5.9
1997/09/15,4
1997/10/15,2.7
1997/11/15,3.3
1997/12/15,2.8
1998/01/15,-2.1
1998/02/15,5.8
1998/03/15,1
1998/04/15,2.1
1998/05/15,-0.8
1998/06/15,-0.4
1998/07/15,2.7
1998/08/15,3.5
1998/09/15,4.8
1998/10/15,4.8
1998/11/15,4.2
1998/12/15,4.72
1999/01/15,11.42
1999/02/15,-0.2
1999/03/15,4.5
1999/04/15,4.2
1999/05/15,5.6
1999/06/15,6.4
1999/07/15,6.9
1999/08/15,6.9
1999/09/15,7.8
1999/10/15,6.1
1999/11/15,5.5
1999/12/15,7.1
2000/01/15,5.4
2000/02/15,15.3
2000/03/15,7.1
2000/04/15,6.9
2000/05/15,12.8
2000/06/15,12.5
2000/07/15,13.5
2000/08/15,10.6
2000/09/15,7
2000/10/15,9.3
2000/11/15,9.4
2000/12/15,8.5
2001/01/15,0.1
2001/02/15,12.8
2001/03/15,9.8
2001/04/15,7.7
2001/05/15,7.7
2001/06/15,8.4
2001/07/15,10.2
2001/08/15,6.3
2001/09/15,8.76
2001/10/15,8.47
2001/11/15,7.44
2001/12/15,9.6
2002/01/15,15.39
2002/02/15,-3.2
2002/03/15,6.22
2002/04/15,10.61
2002/05/15,8.5
2002/06/15,13.4
2002/07/15,11.36
2002/08/15,13.65
2002/09/15,18.56
2002/10/15,16.07
2002/11/15,17.12
2002/12/15,14.61
2003/01/15,10.74
2003/02/15,23
2003/03/15,16.22
2003/04/15,14.14
2003/05/15,13.38
2003/06/15,13.05
2003/07/15,15.19
2003/08/15,16.87
2003/09/15,15.46
2003/10/15,14.75
2003/11/15,15.58
2003/12/15,13.36
2004/01/15,24.7
2004/02/15,24.7
2004/03/15,15.4
2004/04/15,16.2
2004/05/15,16.6
2004/06/15,14.3
2004/07/15,11.7
2004/08/15,12.1
2004/09/15,11.8
2004/10/15,15.8
2004/11/15,14.4
2004/12/15,11.8
2005/01/15,27.3
2005/02/15,-0.6
2005/03/15,13.4
2005/04/15,12.7
2005/05/15,13.5
2005/06/15,13.6
2005/07/15,14.9
2005/08/15,12
2005/09/15,12.7
2005/10/15,9.4
2005/11/15,10.9
2005/12/15,14.7
2006/01/15,5.25
2006/02/15,18.3
2006/03/15,11.1
2006/04/15,11.2
2006/05/15,12.5
2006/06/15,14
2006/07/15,13.5
2006/08/15,16.4
2006/09/15,14
2006/10/15,14.4
2006/11/15,14.7
2006/12/15,14.6
2007/01/15,27.31
2007/02/15,5.3
2007/03/15,13.7
2007/04/15,15.4
2007/05/15,16
2007/06/15,17
2007/07/15,15.5
2007/08/15,15
2007/09/15,15.5
2007/10/15,13.9
2007/11/15,13.8
2007/12/15,12.3
2008/01/15,8.96
2008/02/15,14.3
2008/03/15,16.6
2008/04/15,12.8
2008/05/15,11.8
2008/06/15,8.27
2008/07/15,8.07
2008/08/15,5.1
2008/09/15,3.4
2008/10/15,-3.97
2008/11/15,-9.56
2008/12/15,-7.9
2009/01/15,-11.8
2009/02/15,5.9
2009/03/15,-1.3
2009/04/15,-3.5
2009/05/15,-2.7
2009/06/15,5.2
2009/07/15,4.8
2009/08/15,9.3
2009/09/15,9.5
2009/10/15,17.1
2009/11/15,26.9
2009/12/15,25.9
2010/01/15,42.2
2010/02/15,7.9
2010/03/15,17.6
2010/04/15,21.4
2010/05/15,18.9
2010/06/15,11.4
2010/07/15,11.5
