Name,"CH PRIME LENDING RATE (EP) NADJ"
1996/03/29,12.06
1996/04/30,12.06
1996/05/31,10.98
1996/06/28,10.98
1996/07/31,10.98
1996/08/30,10.08
1996/09/30,10.08
1996/10/31,10.08
1996/11/29,10.08
1996/12/31,10.08
1997/01/31,10.08
1997/02/28,10.08
1997/03/31,10.08
1997/04/30,10.08
1997/05/30,10.08
1997/06/30,10.08
1997/07/31,10.08
1997/08/29,10.08
1997/09/30,10.08
1997/10/31,8.64
1997/11/28,8.64
1997/12/31,8.64
1998/01/30,8.64
1998/02/27,8.64
1998/03/31,7.92
1998/04/30,7.92
1998/05/29,7.92
1998/06/30,7.92
1998/07/31,6.93
1998/08/31,6.93
1998/09/30,6.93
1998/10/30,6.93
1998/11/30,6.93
1998/12/31,6.39
1999/01/29,6.39
1999/02/26,6.39
1999/03/31,6.39
1999/04/30,6.39
1999/05/31,6.39
1999/06/30,5.85
1999/07/30,5.85
1999/08/31,5.85
1999/09/30,5.85
1999/10/29,5.85
1999/11/30,5.85
1999/12/31,5.85
2000/01/31,5.85
2000/02/29,5.85
2000/03/31,5.85
2000/04/28,5.85
2000/05/31,5.85
2000/06/30,5.85
2000/07/31,5.85
2000/08/31,5.85
2000/09/29,5.85
2000/10/31,5.85
2000/11/30,5.85
2000/12/29,5.85
2001/01/31,5.85
2001/02/28,5.85
2001/03/30,5.85
2001/04/30,5.85
2001/05/31,5.85
2001/06/29,5.85
2001/07/31,5.85
2001/08/31,5.85
2001/09/28,5.85
2001/10/31,5.85
2001/11/30,5.85
2001/12/31,5.85
2002/01/31,5.85
2002/02/28,5.31
2002/03/29,5.31
2002/04/30,5.31
2002/05/31,5.31
2002/06/28,5.31
2002/07/31,5.31
2002/08/30,5.31
2002/09/30,5.31
2002/10/31,5.31
2002/11/29,5.31
2002/12/31,5.31
2003/01/31,5.31
2003/02/28,5.31
2003/03/31,5.31
2003/04/30,5.31
2003/05/30,5.31
2003/06/30,5.31
2003/07/31,5.31
2003/08/29,5.31
2003/09/30,5.31
2003/10/31,5.31
2003/11/28,5.31
2003/12/31,5.31
2004/01/30,5.31
2004/02/27,5.31
2004/03/31,5.31
2004/04/30,5.31
2004/05/31,5.31
2004/06/30,5.31
2004/07/30,5.31
2004/08/31,5.31
2004/09/30,5.31
2004/10/29,5.58
2004/11/30,5.58
2004/12/31,5.58
2005/01/31,5.58
2005/02/28,5.58
2005/03/31,5.58
2005/04/29,5.58
2005/05/31,5.58
2005/06/30,5.58
2005/07/29,5.58
2005/08/31,5.58
2005/09/30,5.58
2005/10/31,5.58
2005/11/30,5.58
2005/12/30,5.58
2006/01/31,5.58
2006/02/28,5.58
2006/03/31,5.58
2006/04/28,5.85
2006/05/31,5.85
2006/06/30,5.85
2006/07/31,5.85
2006/08/31,6.12
2006/09/29,6.12
2006/10/31,6.12
2006/11/30,6.12
2006/12/29,6.12
2007/01/31,6.12
2007/02/28,6.12
2007/03/30,6.39
2007/04/30,6.39
2007/05/31,6.57
2007/06/29,6.57
2007/07/31,6.84
2007/08/31,7.02
2007/09/28,7.29
2007/10/31,7.29
2007/11/30,7.29
2007/12/31,7.47
2008/01/31,7.47
2008/02/29,7.47
2008/03/31,7.47
2008/04/30,7.47
2008/05/30,7.47
2008/06/30,7.47
2008/07/31,7.47
2008/08/29,7.47
2008/09/30,7.2
2008/10/31,6.66
2008/11/28,5.58
2008/12/31,5.31
2009/01/30,5.31
2009/02/27,5.31
2009/03/31,5.31
2009/04/30,5.31
2009/05/29,5.31
2009/06/30,5.31
